census_block_group,population,elderly_percentage,income,affected_one_ring,Yi_avg_loss_ratio,relief_m,area_km2,road_density_km_per_km2,population_density,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,zero_vehicle_rate
060371011101,1415.0,16.4664,60545,0,0.5,64.49493408,0.447305036,15.74537351,3163.389378,-118.2881296,34.25935934,157622.6946,-415971.1034,0.1565656565656565
060371011102,1826.0,22.8368,102572,0,0.75,70.48495483,0.354404083,17.37596698,5152.310848,-118.2960924,34.2578108,156892.6759,-416156.0987,0.1966101694915254
060371011103,773.0,24.5796,94375,0,0.916666667,63.26712036,0.340690428,16.04899519,2268.921979,-118.2961338,34.26135334,156881.7985,-415763.1744,0.0897435897435897
060371011221,2754.0,22.5127,145865,1,1.0,174.1890869,1.590034232,9.747034474,1732.038182,-118.2946904,34.27094558,156995.5392,-414696.6591,0.0294530154277699
060371012201,1307.0,20.658,78571,0,0.0,61.94433594,0.332117277,15.84196551,3935.356842,-118.2817171,34.25378611,158224.2724,-416578.6878,0.0
060371012202,2174.0,13.7534,64439,0,0.5,46.19061279,0.366766863,17.06719757,5927.471148,-118.2815564,34.24963617,158247.4153,-417038.7893,0.0363070539419087
060371013001,1080.0,24.9074,89907,1,1.0,266.7424927,1.380526969,9.257124636,782.3099617,-118.2707965,34.25379599,159229.7424,-416559.3081,0.0481283422459893
060371013002,980.0,37.1429,121891,1,0.333333333,87.20843506,0.627037224,17.43491025,1562.905617,-118.270136,34.23863988,159321.236,-418239.5161,0.0609243697478991
060371013003,1077.0,21.6342,109508,0,1.0,53.37011719,0.301040414,17.70458422,3577.592747,-118.2698773,34.24631564,159329.516,-417387.5875,0.0
060371013004,934.0,24.9465,144444,0,0.375,44.75994873,0.2718783,18.48530235,3435.360603,-118.2752597,34.24940372,158827.6694,-417054.0466,0.0200573065902578
060371014001,1079.0,9.2678,61985,0,0.0,49.83718872,0.229931491,25.42055559,4692.70215,-118.2977188,34.25259091,156753.3354,-416737.8574,0.175226586102719
060371014002,1113.0,27.2237,118370,1,0.5,207.6886597,5.272165147,8.664654743,211.1087132,-118.295637,34.24220704,156965.7244,-417886.3373,0.0808270676691729
060371014003,1298.0,21.4176,112639,0,-0.166666667,129.878418,0.807958227,13.91022935,1606.518699,-118.2835188,34.24428973,158077.463,-417635.164,0.0755711775043936
060371021031,1834.0,13.5224,65250,0,0.75,192.5559845,1.186488731,8.687907481,1545.737395,-118.3541879,34.22507925,151606.931,-419881.6571,0.1243455497382199
060371021041,3123.0,17.8674,109762,1,-0.641666667,148.4533691,0.745680404,18.18757656,4188.121322,-118.3420464,34.21228212,152750.08,-421281.7769,0.0524064171122994
060371021042,910.0,22.7473,93750,1,1.0,276.061203,0.913141482,11.21970467,996.5596984,-118.348135,34.21936126,152175.4999,-420506.2691,0.0
060371021051,590.0,15.4237,96719,0,1.0,12.84506226,0.266212813,23.93087773,2216.271986,-118.3511177,34.21094938,151916.9824,-421444.1945,0.0
060371021052,1020.0,16.6667,90104,0,-1.0,15.88554382,0.22654791,30.7755046,4502.358904,-118.3470885,34.20861456,152292.6855,-421696.7336,0.0180722891566265
060371031012,1171.0,8.0273,100625,0,0.0,34.29162598,0.270147744,17.80593288,4334.665112,-118.310431,34.26890188,155550.6127,-414949.3258,0.0268456375838926
060371031022,503.0,17.0974,58036,0,1.0,23.77938843,0.225264877,19.37111407,2232.926883,-118.304838,34.26212313,156078.9253,-415692.1441,0.0
060371031023,1494.0,14.1232,95847,0,-1.0,44.20193481,0.262885638,19.64521632,5683.079567,-118.3075443,34.26539391,155823.3006,-415333.7479,0.0319829424307036
060371031024,903.0,31.4507,85778,0,-0.25,20.11282349,0.1630272,22.35577759,5538.95302,-118.3092077,34.26149253,155677.8827,-415769.2839,0.2008281573498964
060371031025,791.0,14.7914,100179,1,1.0,25.42706299,0.323448528,16.88961432,2445.520482,-118.3135631,34.26331745,155273.3109,-415573.9771,0.1327683615819209
060371033001,1547.0,22.2366,134722,0,1.0,117.3465576,2.870411706,7.931915572,538.9470775,-118.3642474,34.25598046,150621.2227,-416469.6804,0.0
060371041032,2073.0,12.1563,112639,0,1.0,43.46252441,0.508948427,19.71988024,4073.104245,-118.3903974,34.28129209,148165.87,-413702.8616,0.0
